id,client_id,state,company_name,due_date,website,contact_name,credential_id,cost,notes
5f7f7d79-a98c-467f-acd2-9168beeb2747,,MI,American Bookbuy.com Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,Subodh Jain,,25.00,identifying#/password redacted -> vault
4a031890-a333-409a-aef3-112ed4508e94,,DE,Bamax Management Inc.,2026-12-21,https://corp.delaware.gov/,Amanul Syed,,374.96,identifying#/password redacted -> vault
7d95c411-2ea5-41df-90cf-cd9c61b55bf9,,DE,Cabomex,2026-03-01,https://corp.delaware.gov/,,,300.00,identifying#/password redacted -> vault
4562a468-fe63-40bb-bb1f-5851967385f8,,FL,Catalina Media LLC,2026-05-01,Sunbiz.org,Catalina Banks,,138.75,identifying#/password redacted -> vault
b846109d-8327-44d7-8815-3a9ad1d4ed30,,DE,"Dhacam Holdings, LP",2026-03-01,https://corp.delaware.gov/,,,300.00,identifying#/password redacted -> vault
cafef20c-c048-49af-b749-f6fdc036e4ac,,MI,Evoltik International Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,,,25.00,identifying#/password redacted -> vault
3af84997-ee6a-4b93-8178-581cbd7a25d5,,NJ,Global Infra Engicon,2026-09-10,https://www.njportal.com/dor/annualreports,Manish Maheshwari,,75.00,identifying#/password redacted -> vault
d0367930-eb27-4ff4-af17-854e67a7ecbf,,NV,"Iqbal M Mirza, M.D., Prof Corp",,https://www.nvsilverflume.gov/login,Dr. Iqbal Mirza,,,identifying#/password redacted -> vault
0db85a80-505b-4d2f-a32f-4dc980e3b3e2,,ME,Jai Ganesh,2026-06-01,10.informe.org/aro/maine.gov,Sunitaben Patel,,150.00,identifying#/password redacted -> vault
ddabe10b-2aa1-49f3-875d-a0382015ddc1,,DE,Mannlowe Inc,2026-03-01,https://corp.delaware.gov/,,,225.00,identifying#/password redacted -> vault
181aa1e3-6cca-4585-8041-a7d8eedfa58c,,AR,Patton International Inc,2026-05-01,File#811201563  EIN 61-1901684    NW Registered Agent,Rinu Agarwal,,150.00,identifying#/password redacted -> vault
91135c43-290c-4706-b17c-6a472c441e52,,TN,Patton International Inc,2026-05-01,TNBEAR.TN.gov      NW Registered Agent,Rinu Agarwal,,20.00,identifying#/password redacted -> vault
05d9b567-9e9f-4501-a48b-fc28b26a4433,,VA,Patton International Inc,2026-08-01,File #6303702   NW Registered Agent,,,125.00,identifying#/password redacted -> vault
1e4032b9-a295-4d75-bee4-a7c8f7699648,,VA,"Radhasaiom, LLC",2026-12-31,ID S7907738 DCN 18-12-03-6437,Akshay Seth,,100.00,identifying#/password redacted -> vault
93ab1155-589f-4379-bcd1-2da973982818,,MI,Royal Academic Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,Subodh Jain,,25.00,identifying#/password redacted -> vault
21d65b78-d581-404d-9652-70dc19dc72d3,,MI,Sharp International Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,Mohammad Imran,,25.00,identifying#/password redacted -> vault
8c551134-a9e1-48bc-99a6-daad5997bcf7,,FL,Texub Inc,2026-05-01,https://services.sunbiz.org/Filings/AnnualReport/FilingStart,,,250.00,identifying#/password redacted -> vault
9817cd07-b4af-4e8c-b544-47f0d2c7b83b,,DE,Unbridaled Diamonds Inc.,2026-03-01,https://corp.delaware.gov/,,,,identifying#/password redacted -> vault
1f49e660-6e31-47ec-b353-b38f1d6f2318,,DE,XAPA X LLC,2026-03-01,https://corp.delaware.gov/,,,300.00,identifying#/password redacted -> vault
