id,who,client_id,client_service_id,task,started_at,seconds,note,edited,edited_by,edited_at,created_at,company,manual
0ebb68db-f380-4cf2-ae69-5897ba239f82,671f8aa2-3cb8-4f1e-997a-f61ded24b765,f451637c-8936-4355-9bbf-f02e90a3e0e3,,,2026-06-27 05:06:30.963000+00:00,1192,,False,,,2026-06-27 05:06:35.726431+00:00,Tap Associates,False
2558324f-aeac-48e7-aaeb-ed5448b4e985,a4f9cbde-7544-45a0-ba7e-050cc422c035,8b714705-d265-4803-a634-9c977cd75cf9,,,2026-06-27 05:10:20.646000+00:00,15360,,True,,2026-06-27 19:27:48.598000+00:00,2026-06-27 05:10:24.068545+00:00,Tap Associates,False
25b8c491-cc57-4994-9648-bfb1ba58ab8d,671f8aa2-3cb8-4f1e-997a-f61ded24b765,f4f5ded0-3a89-4a04-970b-c5d1dc007a5d,,Financials,2026-07-04 20:21:49.577000+00:00,218,,True,,2026-07-04 20:25:49.266000+00:00,2026-07-04 20:21:50.020043+00:00,Tap Associates,False
28ae4d9e-a12c-4144-8a59-5232db423436,671f8aa2-3cb8-4f1e-997a-f61ded24b765,43857d71-93fe-4890-93d5-aa069c242848,,,2026-06-27 04:34:51.508000+00:00,1800,,True,,2026-06-27 04:35:34.183000+00:00,2026-06-27 04:34:55.283592+00:00,Tap Associates,False
59a6a50e-5e8f-4286-aa7b-e0f38eac8a1c,a4f9cbde-7544-45a0-ba7e-050cc422c035,b540fadb-8c98-470e-a333-4e48004fe19e,,,2026-06-27 12:00:00+00:00,3600,,False,,,2026-06-27 04:43:36.745498+00:00,Tap Associates,False
5e971b85-4f76-4dac-8125-d3b0ad8b85cd,4c3de66a-25a3-4b32-858b-666fd757ced8,9e05805c-7787-46da-854c-427f8a45798d,,Financials,2026-07-04 20:35:15.001000+00:00,820,,False,,,2026-07-04 20:35:15.561839+00:00,Tap Associates,False
915c434a-654f-4324-9e5f-0d140444b420,1c67a55c-c0e7-4239-ac0d-bcce7aa80956,2941bdff-ab04-494e-ae0e-1c7377110f46,,,2026-06-27 05:07:37.730000+00:00,172,,False,,,2026-06-27 05:07:41.259054+00:00,Tap Associates,False
be72c1e6-7a44-43e8-8b6f-d79ee457371e,c1f86567-6cbd-4a66-8549-39f574c42c4f,2cb63856-e08e-4702-afac-c5b3ec72d9fd,,Financials,2026-07-04 12:00:00+00:00,7200,,False,,,2026-07-04 20:21:09.181186+00:00,Tap Associates,False
bf9642d5-7d15-48b2-803f-cc0ebb05a262,e57a174f-e3c7-4204-aacd-93304adcb7c6,714f2015-400a-4099-84ee-0871304a6bff,,Payroll,2026-06-28 15:18:33.794000+00:00,3600,Note 1,True,,2026-07-02 13:50:52.097000+00:00,2026-06-28 15:18:37.107556+00:00,Tap Associates,False
e55620d7-e65b-43cc-9e02-01d54c58650e,436b9552-59e8-41f3-a8a0-2ac740395531,b540fadb-8c98-470e-a333-4e48004fe19e,,Financials,2026-07-04 22:34:09.583000+00:00,21341,,False,,,2026-07-04 22:34:10.050788+00:00,Tap Associates,False
3f31871f-005b-438d-8a3f-7db095e2a3b9,c1f86567-6cbd-4a66-8549-39f574c42c4f,86b2a1b9-5a2c-4f8b-b830-deaaaf774f6c,,Tax Returns,2026-07-07 15:45:15.717000+00:00,0,,False,,,2026-07-07 15:45:18.286639+00:00,Tap Associates,False
853da1ab-395e-4aaf-a361-d3311f735856,8da8f01e-0783-4186-b4a3-0b84ad218fa1,d02b665d-a0ab-4c63-a74f-bf1719ca909e,,Tax Returns,2026-07-07 15:45:58.006000+00:00,0,,False,,,2026-07-07 15:46:00.061942+00:00,Tap Associates,False
472662fd-89a0-40b7-9f68-d819dcd6c770,ef655bec-6c8a-42fb-8693-7ec7139a32bf,41359f4b-a413-46e7-bf6c-c5acca2a3443,,Admin/Other,2026-07-05 12:00:00+00:00,600,,False,,,2026-07-07 16:20:10.282975+00:00,,False
a0b1ad57-3fe1-49c0-9878-a0e6ec737fcc,671f8aa2-3cb8-4f1e-997a-f61ded24b765,d42eb739-4378-449f-9075-b60cd8a51ab9,,Sales Tax,2026-07-07 15:46:21.355000+00:00,3600,,True,,2026-07-07 16:24:21.343000+00:00,2026-07-07 15:46:22.964465+00:00,Tap Associates,False
11111111-1111-4111-a111-111111111111,ef655bec-6c8a-42fb-8693-7ec7139a32bf,41359f4b-a413-46e7-bf6c-c5acca2a3443,,Admin/Other,2026-07-07 12:00:00+00:00,7200,,True,,2026-07-07 16:26:47.621000+00:00,2026-07-07 16:26:36.850938+00:00,,False
a63a67b3-b3af-464c-937c-f58768cc5a95,671f8aa2-3cb8-4f1e-997a-f61ded24b765,86b2a1b9-5a2c-4f8b-b830-deaaaf774f6c,,Financials,2026-07-08 01:08:21.894000+00:00,1633,,False,,,2026-07-08 01:08:25.417031+00:00,,False
07e263b6-bd0a-4705-b2e8-8e77316f0878,436b9552-59e8-41f3-a8a0-2ac740395531,7df16417-2ab7-49a3-b746-b19eb76452e2,,Financials,2026-07-08 12:00:00+00:00,7200,,False,,,2026-07-08 02:48:15.918048+00:00,,False
