id,client_id,state,company_name,due_date,website,contact_name,credential_id,cost,notes
d5c08fce-d2e5-4f34-a0d5-713f7bc7d279,f541cb9e-7f2a-4209-9830-ebea6a7c5c4b,MI,American Bookbuy.com Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,Subodh Jain,,25,identifying#/password redacted -> vault
e431d642-3b84-4ceb-bcc4-5664eb4ce414,d4172820-3b4f-4cd0-8481-86337c4ed62a,DE,Bamax Management Inc.,2026-12-21,https://corp.delaware.gov/,Amanul Syed,,374.96,identifying#/password redacted -> vault
6640fbd1-ec2d-4225-afcb-caa953fd114a,69c5f0ee-48dc-4572-8054-cdade970548f,DE,Cabomex,2026-03-01,https://corp.delaware.gov/,,,300,identifying#/password redacted -> vault
636d7ca8-6c3e-48ee-9b42-67521db0e442,066575b1-40a8-4d3f-8a48-9301497fd639,FL,Catalina Media LLC,2026-05-01,Sunbiz.org,Catalina Banks,,138.75,identifying#/password redacted -> vault
2b23ac70-0171-4723-b3bc-650cf2995925,039df327-09ed-45be-bec1-c738d13520f2,DE,"Dhacam Holdings, LP",2026-03-01,https://corp.delaware.gov/,,,300,identifying#/password redacted -> vault
81c8df72-be4a-4eab-958b-ca9bbc38b592,faa73dad-ca63-4205-a69d-11241b7e7fbc,MI,Evoltik International Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,,,25,identifying#/password redacted -> vault
9dfc26c0-20e9-4d2f-bf5f-8a0303538f00,13b2ea41-a5aa-4b79-9317-ba4c428e50a4,NJ,Global Infra Engicon,2026-09-10,https://www.njportal.com/dor/annualreports,Manish Maheshwari,,75,identifying#/password redacted -> vault
094296ce-d1aa-4097-be70-89b780f22f4e,93cc4d7b-e236-4375-a8ac-6d41ae7aaf88,NV,"Iqbal M Mirza, M.D., Prof Corp",,https://www.nvsilverflume.gov/login,Dr. Iqbal Mirza,,,identifying#/password redacted -> vault
1aa4c3dd-d0ec-4aff-98b7-cef6ed858b88,7e83eee1-d7a4-4562-bacc-01f7e3930394,ME,Jai Ganesh,2026-06-01,10.informe.org/aro/maine.gov,Sunitaben Patel,,150,identifying#/password redacted -> vault
088a5c73-4106-432c-874c-ce995d0563b4,3d02ffab-547a-4b0b-92ec-66639f19b48a,DE,Mannlowe Inc,2026-03-01,https://corp.delaware.gov/,,,225,identifying#/password redacted -> vault
1a8646ab-8a12-477f-a03c-98ce1f2e3fcd,b3c697c0-d48a-447d-af3e-1b332cd8e751,AR,Patton International Inc,2026-05-01,File#811201563  EIN 61-1901684    NW Registered Agent,Rinu Agarwal,,150,identifying#/password redacted -> vault
5814d711-831f-46b0-aeb0-ec77a1c0de41,b3c697c0-d48a-447d-af3e-1b332cd8e751,TN,Patton International Inc,2026-05-01,TNBEAR.TN.gov      NW Registered Agent,Rinu Agarwal,,20,identifying#/password redacted -> vault
a22e0914-b925-4d22-9cff-04c28ac2215e,b3c697c0-d48a-447d-af3e-1b332cd8e751,VA,Patton International Inc,2026-08-01,File #6303702   NW Registered Agent,,,125,identifying#/password redacted -> vault
904379b8-b656-4c3a-96c8-82790f95c370,533dceb3-ef6a-4295-8197-8e30c65b2ac6,VA,"Radhasaiom, LLC",2026-12-31,ID S7907738 DCN 18-12-03-6437,Akshay Seth,,100,identifying#/password redacted -> vault
bea0acd9-80f5-44df-b958-48cf973ae2b2,558d0c02-99fb-428d-935a-42e831483ef8,MI,Royal Academic Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,Subodh Jain,,25,identifying#/password redacted -> vault
fd365fbe-ad4e-4566-8085-a9ac8145f9c4,73286a94-3e03-4aa7-9a6f-fba96ca03160,MI,Sharp International Inc,2026-05-15,cofs.lara.state.mi.us/corporate/login system,Mohammad Imran,,25,identifying#/password redacted -> vault
b879f1c8-ab32-455d-b832-efabdb50f5bb,61fb4b6a-e84c-458d-8f91-59955a44117f,FL,Texub Inc,2026-05-01,https://services.sunbiz.org/Filings/AnnualReport/FilingStart,,,250,identifying#/password redacted -> vault
48208b38-d499-4ca7-81a4-7abebf29d700,3f28a1c3-ab52-4fed-a345-e01911203bcf,DE,Unbridaled Diamonds Inc.,2026-03-01,https://corp.delaware.gov/,,,,identifying#/password redacted -> vault
3e60a99c-a8cc-468f-b790-c55ee13dcdc1,e6d86384-0053-4cf3-91d4-88155400d835,DE,XAPA X LLC,2026-03-01,https://corp.delaware.gov/,,,300,identifying#/password redacted -> vault
